Size,Parallel Time,Sequential Time
5,0.000212,0.000001
10,0.000003,0.000003
15,0.000007,0.000010
20,0.000014,0.000023
25,0.000026,0.000045
30,0.000101,0.000083
35,0.000067,0.000123
40,0.000099,0.000196
45,0.000140,0.000273
50,0.000192,0.000361
55,0.000254,0.000625
60,0.000321,0.000734
65,0.000581,0.000836
70,0.000541,0.001065
75,0.000690,0.001927
80,0.001184,0.002219
85,0.001164,0.002194
90,0.001392,0.002767
95,0.001556,0.003146
100,0.001852,0.003487
105,0.002140,0.004072
110,0.002475,0.004616
115,0.002695,0.005202
120,0.003341,0.005952
125,0.003626,0.006744
130,0.003984,0.007662
135,0.004563,0.008435
140,0.005173,0.009489
145,0.005468,0.010436
150,0.006045,0.011783
155,0.006707,0.013004
160,0.007064,0.014160
165,0.007948,0.015610
170,0.008724,0.017083
175,0.009530,0.018556
180,0.010521,0.020266
185,0.011377,0.021897
190,0.012381,0.023790
195,0.013255,0.025842
200,0.014269,0.027784
205,0.015901,0.030055
210,0.016605,0.033014
215,0.027701,0.046016
220,0.025095,0.051850
225,0.028289,0.045381
230,0.022405,0.043711
235,0.024334,0.047272
240,0.025208,0.049804
245,0.026560,0.051978
250,0.028099,0.054984
255,0.031338,0.061152
260,0.031887,0.062154
265,0.034220,0.068662
270,0.035932,0.070422
275,0.037817,0.073644
280,0.040455,0.079930
285,0.049518,0.088613
290,0.059277,0.093222
295,0.059608,0.096519
300,0.052783,0.119622
305,0.074764,0.129948
310,0.078186,0.114393
315,0.064845,0.123253
320,0.066155,0.148744
325,0.110592,0.156785
330,0.079869,0.161083
335,0.087068,0.144450
340,0.098346,0.145915
345,0.075341,0.153093
350,0.223290,0.174072
355,0.132869,0.176291
360,0.097206,0.188291
365,0.098801,0.178727
370,0.103797,0.184727
375,0.095901,0.195159
380,0.156750,0.215103
385,0.117192,0.250435
390,0.133198,0.233791
395,0.115064,0.238735
400,0.150604,0.243595
405,0.161519,0.257578
410,0.147499,0.280555
415,0.179393,0.353027
420,0.140697,0.275214
425,0.141001,0.285441
430,0.156418,0.340938
435,0.204268,0.333596
440,0.207010,0.372487
445,0.224422,0.370931
450,0.215266,0.397958
455,0.212930,0.364878
460,0.185408,0.403488
465,0.224490,0.427806
470,0.217855,0.405041
475,0.472521,0.429112
480,0.222727,0.423346
485,0.214668,0.424693
490,0.226710,0.437249
495,0.230103,0.462478
500,0.239546,0.469335
505,0.246197,0.482954
510,0.251609,0.501900
515,0.262576,0.516043
520,0.269649,0.536047
525,0.283853,0.553710
530,0.292150,0.573929
535,0.297493,0.598692
540,0.305083,0.607824
545,0.315959,0.628170
550,0.324792,0.646195
555,0.336747,0.679404
560,0.349803,0.688595
565,0.359034,0.712253
570,0.363840,0.727441
575,0.379917,0.748523
580,0.388159,0.772077
585,0.408078,0.790714
590,0.414327,0.812311
595,0.423796,0.831660
600,0.436548,0.866236
605,0.441011,0.877650
610,0.452712,0.897982
615,0.461613,0.921228
620,0.496544,0.943112
625,0.491230,0.978508
630,0.499941,0.992697
635,0.524419,1.026243
640,0.522216,1.047174
645,0.536372,1.061360
650,0.565541,1.098632
655,0.563634,1.117577
660,0.576171,1.139680
665,0.588691,1.172794
670,0.624018,1.217767
675,0.617649,1.222935
680,0.630748,1.266078
685,0.639254,1.280749
690,0.661391,1.308308
695,0.677053,1.336295
700,0.693421,1.363886
705,0.707578,1.407148
710,0.751645,1.429632
715,0.739094,1.496089
720,0.746786,1.500098
725,0.773266,1.526408
730,0.792107,1.573723
735,0.793232,1.582179
740,0.813592,1.727223
745,0.859221,1.658128
750,0.873544,1.710089
755,0.876472,1.751444
760,0.912626,1.781621
765,0.934656,1.822374
770,0.938690,1.831066
775,0.943199,1.893500
780,0.975237,1.921109
785,0.998142,1.947059
790,1.018798,1.998586
795,1.035582,2.040356
800,1.032097,2.086681
805,1.075107,2.096271
810,1.079381,2.167918
815,1.131362,2.219956
820,1.157373,2.273319
825,1.182734,2.283801
830,1.187561,2.341775
835,1.207252,2.381787
840,1.228591,2.392718
845,1.243491,2.469817
850,1.275733,2.558300
855,1.308759,2.630223
860,1.337608,2.990602
865,1.473056,3.008395
870,1.623311,2.800130
875,1.439863,2.797374
880,1.452914,2.852369
885,1.516411,2.873788
890,1.540240,2.971479
895,1.552950,2.948698
900,1.541731,3.060681
905,1.606822,3.037455
910,1.596651,3.210984
915,1.618756,3.184688
920,1.703921,3.296669
925,1.722231,3.228322
930,1.701049,3.323165
935,1.717477,3.343686
940,1.714390,3.440577
945,1.759159,3.505434
950,1.890533,3.659107
955,2.004772,3.633727
960,1.861100,3.662922
965,1.927955,3.755426
970,1.896504,3.798871
975,1.958327,3.820852
980,2.044356,3.898110
985,2.077878,4.005793
990,2.068469,4.019496
995,2.135356,4.128938
1000,2.187272,4.189014
