Size,Parallel Time,Sequential Time
10,0.000367,0.000001
20,0.000008,0.000002
30,0.000013,0.000004
40,0.000020,0.000005
50,0.000026,0.000009
60,0.000032,0.000012
70,0.000035,0.000017
80,0.000038,0.000022
90,0.000047,0.000027
100,0.000067,0.000034
110,0.000067,0.000041
120,0.000080,0.000048
130,0.000093,0.000057
140,0.000107,0.000066
150,0.000123,0.000075
160,0.000138,0.000097
170,0.000241,0.000098
180,0.000174,0.000108
190,0.000195,0.000120
200,0.000223,0.000133
210,0.000235,0.000147
220,0.000259,0.000374
230,0.000279,0.000176
240,0.000315,0.000190
250,0.000331,0.000207
260,0.000403,0.000223
270,0.000383,0.000287
280,0.000410,0.000260
290,0.000478,0.000277
300,0.000480,0.000296
310,0.000502,0.000326
320,0.000534,0.000377
330,0.000650,0.000410
340,0.000602,0.000396
350,0.000639,0.000417
360,0.000676,0.000442
370,0.000821,0.000455
380,0.000825,0.000487
390,0.000783,0.000524
400,0.000825,0.000586
410,0.000860,0.000629
420,0.000925,0.000600
430,0.000968,0.000643
440,0.000975,0.000669
450,0.001072,0.000815
460,0.001070,0.000739
470,0.001113,0.000845
480,0.001164,0.000886
490,0.001228,0.000945
500,0.001383,0.001038
510,0.001338,0.000941
520,0.001392,0.000989
530,0.001527,0.001036
540,0.001526,0.001341
550,0.001552,0.001318
560,0.001608,0.001174
570,0.001725,0.001249
580,0.001740,0.001338
590,0.001831,0.001410
600,0.002024,0.001466
610,0.001974,0.001603
620,0.002087,0.001574
630,0.002182,0.001651
640,0.002247,0.001718
650,0.002308,0.001752
660,0.002408,0.001831
670,0.002441,0.001900
680,0.002534,0.002340
690,0.002805,0.002694
700,0.002723,0.002161
710,0.002811,0.002169
720,0.002840,0.002363
730,0.002911,0.002385
740,0.003313,0.002570
750,0.003146,0.002531
760,0.003233,0.002664
770,0.003407,0.002813
780,0.003452,0.002847
790,0.003364,0.002950
800,0.003585,0.002995
810,0.003640,0.003185
820,0.003773,0.003161
830,0.003753,0.003255
840,0.003887,0.003409
850,0.004071,0.003482
860,0.004400,0.003762
870,0.004246,0.003784
880,0.004431,0.003750
890,0.004452,0.005801
900,0.004762,0.003957
910,0.004649,0.004243
920,0.005611,0.004831
930,0.004934,0.004332
940,0.004864,0.004687
950,0.005031,0.004684
960,0.005197,0.004712
970,0.005300,0.004928
980,0.005334,0.005080
990,0.005696,0.005149
1000,0.005672,0.005329
1010,0.005728,0.005741
1020,0.005941,0.008710
1030,0.007085,0.006293
1040,0.006270,0.008768
1050,0.008194,0.007258
1060,0.006676,0.006391
1070,0.006639,0.006879
1080,0.006879,0.006797
1090,0.006901,0.006906
1100,0.006986,0.010226
1110,0.009515,0.009008
1120,0.007667,0.007575
1130,0.007377,0.007667
1140,0.007703,0.007869
1150,0.007710,0.008039
1160,0.008112,0.009358
1170,0.007985,0.010044
1180,0.008423,0.012849
1190,0.008872,0.009521
1200,0.008625,0.009374
1210,0.009004,0.010664
1220,0.008968,0.009579
1230,0.009082,0.009901
1240,0.009229,0.010429
1250,0.009393,0.010587
1260,0.010294,0.013368
1270,0.009739,0.011201
1280,0.009878,0.011318
1290,0.010931,0.013106
1300,0.010568,0.012047
1310,0.010819,0.012518
1320,0.012133,0.014481
1330,0.012210,0.013389
1340,0.011381,0.015228
1350,0.011860,0.016269
1360,0.015166,0.017431
1370,0.012453,0.014709
1380,0.012419,0.014942
1390,0.013912,0.018503
1400,0.013111,0.016254
1410,0.013384,0.018964
1420,0.013749,0.017974
1430,0.013903,0.017459
1440,0.015687,0.018550
1450,0.018610,0.020301
1460,0.015530,0.018398
1470,0.015458,0.019080
1480,0.026776,0.031140
1490,0.017033,0.020510
1500,0.015896,0.020306
1510,0.016857,0.021294
1520,0.022779,0.029782
1530,0.019118,0.022879
1540,0.017773,0.025285
1550,0.019042,0.023306
1560,0.018151,0.024306
1570,0.019132,0.023693
1580,0.020075,0.026575
1590,0.019567,0.025048
1600,0.019780,0.025121
1610,0.024308,0.026681
1620,0.020470,0.026578
1630,0.021748,0.027161
1640,0.023235,0.027199
1650,0.024576,0.036393
1660,0.025480,0.031004
1670,0.023378,0.029748
1680,0.022923,0.031639
1690,0.024037,0.030239
1700,0.023565,0.030811
1710,0.025583,0.032190
1720,0.024878,0.032433
1730,0.024540,0.034449
1740,0.025765,0.033289
1750,0.026008,0.034711
1760,0.031595,0.034126
1770,0.025975,0.037371
1780,0.027374,0.034889
1790,0.026937,0.035547
1800,0.028545,0.036300
1810,0.027342,0.036542
1820,0.028684,0.037967
1830,0.029890,0.041217
1840,0.029340,0.038016
1850,0.035457,0.044315
1860,0.029512,0.039467
1870,0.030007,0.041585
1880,0.032375,0.040746
1890,0.031183,0.043349
1900,0.032134,0.041817
1910,0.031299,0.044085
1920,0.032348,0.042723
1930,0.039789,0.046860
1940,0.032945,0.047085
1950,0.032949,0.047023
1960,0.042981,0.046225
1970,0.033895,0.050007
1980,0.034617,0.048228
1990,0.034873,0.048107
2000,0.037406,0.054055
2010,0.036174,0.047670
2020,0.037033,0.050831
2030,0.036857,0.049804
2040,0.038602,0.050000
2050,0.037910,0.051563
2060,0.039128,0.050968
2070,0.047943,0.054801
2080,0.039853,0.054097
2090,0.038561,0.055580
2100,0.041028,0.052706
2110,0.040584,0.055114
2120,0.039955,0.055549
2130,0.042999,0.061657
2140,0.043603,0.055841
2150,0.042993,0.057188
2160,0.041147,0.057736
2170,0.042275,0.056924
2180,0.044440,0.057605
2190,0.046077,0.064590
2200,0.043859,0.061524
2210,0.045298,0.062768
2220,0.044720,0.059853
2230,0.046995,0.061017
2240,0.046233,0.063800
2250,0.051521,0.066212
2260,0.047983,0.064487
2270,0.048435,0.067748
2280,0.046973,0.066091
2290,0.048611,0.063923
2300,0.058480,0.064800
2310,0.049420,0.065931
2320,0.049283,0.078418
2330,0.062156,0.068613
2340,0.049301,0.068933
2350,0.053836,0.072620
2360,0.050254,0.070067
2370,0.050541,0.072990
2380,0.052401,0.073859
2390,0.051501,0.073134
2400,0.060636,0.076497
2410,0.053723,0.072343
2420,0.056358,0.072910
2430,0.054626,0.078395
2440,0.058771,0.080746
2450,0.056503,0.075584
2460,0.055995,0.078665
2470,0.055207,0.075354
2480,0.057649,0.076218
2490,0.061450,0.078965
2500,0.058716,0.080574
2510,0.058110,0.079085
2520,0.058954,0.079739
2530,0.062078,0.084907
2540,0.059821,0.081781
2550,0.061078,0.082022
2560,0.061199,0.082675
2570,0.062133,0.085518
2580,0.062634,0.094832
2590,0.065432,0.086675
2600,0.062752,0.086059
2610,0.063103,0.087518
2620,0.065979,0.086832
2630,0.064660,0.089703
2640,0.066830,0.088270
2650,0.064852,0.088762
2660,0.064998,0.088918
2670,0.067170,0.088420
2680,0.067771,0.091392
2690,0.065410,0.091831
2700,0.066678,0.094099
2710,0.069054,0.092868
2720,0.075646,0.093604
2730,0.069862,0.096860
2740,0.068922,0.095644
2750,0.068694,0.094939
2760,0.070785,0.095996
2770,0.071315,0.101981
2780,0.069991,0.098368
2790,0.071474,0.103300
2800,0.075586,0.105434
2810,0.075621,0.102802
2820,0.072962,0.103732
2830,0.075102,0.102929
2840,0.077340,0.105708
2850,0.076387,0.101281
2860,0.076356,0.104042
2870,0.075167,0.104389
2880,0.079581,0.104304
2890,0.076692,0.106382
2900,0.077727,0.107124
2910,0.079889,0.107870
2920,0.084834,0.110202
2930,0.080098,0.115393
2940,0.079433,0.110940
2950,0.081912,0.113428
2960,0.081764,0.112165
2970,0.080781,0.113174
2980,0.083406,0.113715
2990,0.081138,0.113960
3000,0.083715,0.116317
3010,0.084946,0.115709
3020,0.083523,0.115911
3030,0.096076,0.124660
3040,0.091712,0.120262
3050,0.089950,0.120045
3060,0.087264,0.126384
3070,0.086678,0.119627
3080,0.090426,0.121846
3090,0.091614,0.123072
3100,0.092044,0.122314
3110,0.089367,0.129645
3120,0.090671,0.126255
3130,0.091463,0.126225
3140,0.092766,0.129230
3150,0.091814,0.126910
3160,0.090510,0.126797
3170,0.093784,0.129498
3180,0.097564,0.128169
3190,0.093525,0.129673
3200,0.094401,0.132454
3210,0.096091,0.131566
3220,0.095594,0.136821
3230,0.102894,0.149583
